session_id,index,elapsed_time,event_name,name,level,page,room_coor_x,room_coor_y,screen_coor_x,screen_coor_y,hover_duration,text,fqid,room_fqid,text_fqid,fullscreen,hq,music,level_group
20100019210476400,146,416627,navigate_click,undefined,6,,-114.58801316028513,-119.16359543557721,809.0,416.0,,,,tunic.historicalsociety.closet_dirty,,0,0,1,5-12
20100019210476400,575,1472948,navigate_click,undefined,15,,-29.298653953316173,156.77933319701773,327.0,215.0,,,,tunic.historicalsociety.collection_flag,,0,0,1,13-22
20100019232709284,617,976958,map_click,close,11,,678.9268202193803,258.0,830.0,72.0,,,,tunic.humanecology.frontdesk,,0,0,1,5-12
20100023124078624,205,327371,person_click,basic,6,,-527.5892370601676,-74.16262045250205,396.0,371.0,,Could be. But we need evidence.,gramps,tunic.historicalsociety.closet_dirty,tunic.historicalsociety.closet_dirty.gramps.news,0,0,0,5-12
20100023464644676,39,45442,object_click,close,1,,-142.48355913718484,225.11676621801533,807.0,78.0,,,retirement_letter,tunic.historicalsociety.closet,,0,0,1,0-4
20100023464644676,424,503778,notification_click,basic,11,,-102.27447239150612,-133.24441974155494,262.0,465.0,,And look! She's wearing the shirt!,,tunic.historicalsociety.stacks,tunic.historicalsociety.stacks.journals.pic_2.bingo,0,0,1,5-12
20100107145631690,57,129685,cutscene_click,basic,1,,445.9217214578408,167.4644243795994,587.0,231.0,,undefined,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,1,1,1,0-4
20100107485528388,840,1898224,map_click,undefined,18,,905.4355027381216,-339.32289680584137,715.0,538.0,,,tunic.wildlife,tunic.historicalsociety.entry,,0,0,1,13-22
20100108074945404,1591,3345545,person_click,basic,18,,548.6000676969892,-447.56124756647364,563.0,366.0,,"We need to calm her down, Teddy.",crane_ranger,tunic.wildlife.center,tunic.wildlife.center.crane_ranger.crane,0,0,1,13-22
20100108591155856,241,315971,person_click,basic,6,,-29.628349568302077,43.99999999999999,378.0,286.0,,I ran into Wells there this morning.,archivist,tunic.historicalsociety.frontdesk,tunic.historicalsociety.frontdesk.archivist.have_glass,0,1,1,5-12
20100109004299012,23,29337,navigate_click,undefined,0,,-172.0236764356011,3.473724964928373,307.0,280.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20100109380136844,605,901368,person_click,basic,11,,-13.348500905658947,-22.0,395.0,352.0,,Here's a call number to find more info in the Stacks.,archivist,tunic.historicalsociety.frontdesk,tunic.historicalsociety.frontdesk.archivist.newspaper,0,0,1,5-12
20100109380136844,1621,2274142,navigate_click,undefined,20,,99.89645340687514,-119.87288389278116,508.0,447.0,,,,tunic.flaghouse.entry,,0,0,1,13-22
20100109470804544,1715,2188328,navigate_click,undefined,16,,-308.80768390786704,-271.8818259911842,868.0,550.0,,,,tunic.historicalsociety.cage,,0,0,1,13-22
20100109470804544,2237,2535989,navigate_click,undefined,20,,-582.4360565297993,-289.48144386470574,768.0,565.0,,,,tunic.historicalsociety.cage,,0,0,1,13-22
20100109594661570,112,133316,navigate_click,undefined,3,,126.27592155294063,-114.34652669838808,817.0,392.0,,,,tunic.historicalsociety.entry,,1,0,1,0-4
20100109595390890,185,594439,navigate_click,undefined,5,,689.0028797375328,-199.2540864151816,833.0,424.0,,,toentry,tunic.capitol_0.hall,,0,0,1,5-12
20100109595390890,659,1580163,cutscene_click,basic,17,,386.78351869804567,-424.53967255754486,796.0,622.0,,undefined,savedteddy,tunic.historicalsociety.basement,tunic.historicalsociety.basement.savedteddy,0,0,1,13-22
20100110125009530,116,91992,navigate_click,undefined,3,,-50.84827431511359,-265.176066337833,388.0,582.0,,,,tunic.historicalsociety.stacks,,0,0,1,0-4
20100110175762076,376,546123,navigate_click,undefined,11,,-42.34850090565911,-284.0,366.0,614.0,,,tostacks,tunic.historicalsociety.frontdesk,,0,0,1,5-12
20100110240923344,898,1191170,person_click,basic,18,,-607.6285954805561,-588.542439353768,365.0,483.0,,Why don't you go talk to her? I'll let her know you're coming.,wells,tunic.wildlife.center,tunic.wildlife.center.wells.nodeer,0,0,1,13-22
20100110332615344,786,1069676,navigate_click,undefined,12,,289.37573062242905,125.3504422002295,520.0,230.0,,,chap2_finale_c,tunic.capitol_1.hall,,0,0,0,5-12
20100111112073250,1218,1806059,notebook_click,prev,19,1.0,-1152.5029683441146,-867.7946336654511,40.0,630.0,,,,tunic.wildlife.center,,0,0,1,13-22
20100111262209730,660,1053074,cutscene_click,basic,17,,-516.4892085746816,-32.84270286057523,148.0,341.0,,Gramps must be up in the collection room.,savedteddy,tunic.historicalsociety.basement,tunic.historicalsociety.basement.savedteddy,0,0,1,13-22
20100111274378384,399,292720,notification_click,basic,9,,48.837239984496065,-292.0,496.0,622.0,,She helped get votes for women!,,tunic.library.microfiche,tunic.library.microfiche.reader.paper2.bingo,0,0,0,5-12
20100111342055230,447,666465,navigate_click,undefined,6,,-537.2032935688638,-57.545156919587676,234.0,360.0,,,,tunic.historicalsociety.entry,,0,0,1,5-12
20100111383889904,1183,8466246,person_click,basic,19,,-1011.5679789222951,-579.4212277284703,55.0,476.0,,She should be able to help you out.,wells,tunic.wildlife.center,tunic.wildlife.center.wells.nodeer_recap,1,1,1,13-22
20100111474022764,609,4429017,navigate_click,undefined,11,,493.40828661864776,-46.0,825.0,376.0,,,,tunic.kohlcenter.halloffame,,0,0,1,5-12
20100111522448010,962,1209955,navigate_click,undefined,12,,-23.274472391505736,-224.2444197415549,341.0,556.0,,,,tunic.historicalsociety.stacks,,0,0,1,5-12
20100111522448010,1285,1752065,navigate_click,undefined,15,,-1604.775738219187,-174.64222485300715,71.0,470.0,,,,tunic.historicalsociety.cage,,0,0,1,13-22
20100112092206028,751,1182200,navigate_click,undefined,18,,-300.35535117433176,432.7836551197935,555.0,56.0,,,,tunic.historicalsociety.entry,,0,0,1,13-22
20100112152091080,189,279231,navigate_click,undefined,3,,892.763873750036,-124.82416450115265,860.0,397.0,,,tomap,tunic.historicalsociety.entry,,0,1,1,0-4
20100112511634468,808,2188919,object_click,close,19,,1188.7316662896262,-40.616505279757746,834.0,68.0,,,tracks,tunic.wildlife.center,,0,0,1,13-22
20100112565850292,1003,70456077,navigate_click,undefined,17,,-500.6453394497106,-233.00482415247242,100.0,454.0,,,,tunic.historicalsociety.entry,,0,0,1,13-22
20100113150922424,130,67513,navigate_click,undefined,3,,670.7168748764797,21.22640802096889,824.0,315.0,,,toentry,tunic.historicalsociety.collection,,0,0,1,0-4
20100113150922424,1345,2241448,object_hover,undefined,21,,,,,,1187.0,,journals_flag.hub.topics,tunic.historicalsociety.stacks,,0,0,1,13-22
20100113211402190,1382,3763510,person_click,basic,11,,14.651499094341036,107.0,423.0,223.0,,Youmans was a suffragist here in Wisconsin.,archivist,tunic.historicalsociety.frontdesk,tunic.historicalsociety.frontdesk.archivist.newspaper,1,1,1,5-12
20100113302758190,65,108268,person_click,basic,2,,18.80751119446315,11.948086260272472,433.0,320.0,,Yes! This cool old slip from 1916.,gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.found,0,0,1,0-4
20100113555428456,970,1345923,map_hover,basic,20,,,,,,36.0,,tunic.library,tunic.flaghouse.entry,,0,0,1,13-22
20100114065912308,440,413673,notification_click,basic,11,,311.7255275912777,-198.2444197415549,676.0,530.0,,"Hey, this is Youmans!",,tunic.historicalsociety.stacks,tunic.historicalsociety.stacks.journals.pic_2.bingo,0,0,1,5-12
20100114131659468,655,1030920,navigate_click,undefined,16,,-415.95548457991447,-158.46899156786444,824.0,457.0,,,,tunic.historicalsociety.cage,,1,0,1,13-22
20100114173964540,0,0,cutscene_click,basic,0,,-290.99140522263224,17.685313829772195,503.0,317.0,,undefined,intro,tunic.historicalsociety.closet,tunic.historicalsociety.closet.intro,0,0,1,0-4
20100114214767150,291,378127,person_click,basic,7,,-117.14915986518908,-90.0,349.0,420.0,,It's our Norwegian Craft exhibit!,worker,tunic.humanecology.frontdesk,tunic.humanecology.frontdesk.worker.intro,0,0,1,5-12
20100114590852610,369,1004669,person_click,basic,11,,39.65149909433258,97.0,448.0,233.0,,Yep.,archivist,tunic.historicalsociety.frontdesk,tunic.historicalsociety.frontdesk.archivist.newspaper,0,0,1,5-12
20100115142089760,764,84576077,person_click,basic,18,,147.86656117923678,82.4629760709157,440.0,274.0,,Ugh. I have to head over there and check out the animals.,boss,tunic.historicalsociety.entry,tunic.historicalsociety.entry.boss.flag,0,0,1,13-22
20100115142089760,1039,85002169,notebook_click,basic,18,5.0,1067.549887479504,-144.85881851873816,741.0,148.0,,,,tunic.wildlife.center,,0,0,1,13-22
20100115261547010,868,2495690,notebook_click,open,16,4.0,-393.78116916373637,-289.0,30.0,619.0,,,,tunic.historicalsociety.frontdesk,,1,0,1,13-22
20100115262106308,966,11601123,navigate_click,undefined,18,,681.0638199959525,-466.75026478435586,724.0,385.0,,,expert,tunic.wildlife.center,,0,0,1,13-22
20100115305016396,32,50774,object_hover,basic,1,,,,,,8426.0,,retirement_letter,tunic.historicalsociety.closet,,1,1,1,0-4
20100115543803812,929,75073448,navigate_click,undefined,22,,54.725527608494254,-321.24441974155485,419.0,653.0,,,toentry,tunic.historicalsociety.stacks,,0,0,1,13-22
20100116312285904,165,1199376,navigate_click,undefined,5,,17.043346285251005,-151.9710943168762,262.0,390.0,,,,tunic.capitol_0.hall,,1,0,1,5-12
20100116350952972,4,5095,person_click,basic,0,,-140.99140522263215,-2.3146861702278247,653.0,337.0,,"Can I come, Gramps?",gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,1,0,1,0-4
20100116512584180,627,1151594,person_click,basic,17,,-69.03453071213754,-106.5121063315251,371.0,402.0,,Poor badger.,gramps,tunic.historicalsociety.collection_flag,tunic.historicalsociety.collection_flag.gramps.flag,0,0,1,13-22
20100116563055436,306,9213444,navigate_click,undefined,7,,586.6909024879075,-91.09419126310145,801.0,378.0,,,,tunic.historicalsociety.entry,,0,0,1,5-12
20100117222271104,352,858340,object_click,basic,7,,-17.760235665309736,-177.0,340.0,507.0,,,businesscards,tunic.humanecology.frontdesk,,0,0,1,5-12
20100117360763348,88,100778,navigate_click,undefined,2,,-850.2516746152719,-109.70371333594221,43.0,388.0,,,,tunic.historicalsociety.entry,,0,1,1,0-4
20100117554365464,582,1106806,navigate_click,undefined,18,,190.740118676988,-652.8594645015977,786.0,492.0,,,,tunic.wildlife.center,,0,0,1,13-22
20100117591541532,729,1180110,notification_click,basic,18,,1023.2469245416625,-447.16195323335734,707.0,380.0,,That hoofprint doesn't match the flag!,,tunic.wildlife.center,tunic.wildlife.center.tracks.hub.deer,0,0,1,13-22
20100118035490200,137,254035,navigate_click,undefined,4,,-477.5113914077377,-140.00000000000003,152.0,470.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4
20100118543017772,432,529851,notebook_click,open,11,3.0,-911.9636461181128,-366.20679558898695,48.0,611.0,,,,tunic.library.frontdesk,,0,0,1,5-12
20100118543017772,800,1187149,navigate_click,undefined,18,,463.95994055520856,-520.5355847950507,558.0,428.0,,,,tunic.wildlife.center,,0,0,1,13-22
20100119592586696,881,2524902,navigate_click,undefined,15,,-1595.9409266220307,-154.00396304508175,335.0,456.0,,,,tunic.historicalsociety.cage,,0,0,1,13-22
20100122272408336,305,39510920,navigate_click,undefined,5,,-532.5315896828977,-66.54064396555567,212.0,360.0,,,,tunic.historicalsociety.entry,,0,0,1,5-12
20100122272408336,1109,41473171,notebook_click,basic,13,3.0,639.4186244369945,307.88584070342193,828.0,102.0,,,,tunic.historicalsociety.basement,,0,0,1,13-22
20100208005768772,1130,1341043,object_hover,undefined,20,,,,,,50.0,,reader_flag.paper2.prev,tunic.library.microfiche,,0,0,1,13-22
20100208341524588,544,985803,navigate_click,undefined,15,,-1392.3261209971968,-158.44278165622413,129.0,459.0,,,,tunic.historicalsociety.cage,,0,0,1,13-22
20100209032553930,16,24171,notification_click,basic,0,,-547.6590199602546,-194.91772951544843,481.0,470.0,,Found it!,,tunic.historicalsociety.closet,tunic.historicalsociety.closet.notebook,0,0,1,0-4
20100209171863964,1054,825496,navigate_click,undefined,5,,638.1274332407289,-126.69748504785795,707.0,399.0,,,,tunic.historicalsociety.entry,,0,1,1,5-12
20100209173592804,669,3530320,navigate_click,undefined,11,,856.2459130031883,-161.66360323612298,854.0,405.0,,,toentry,tunic.capitol_1.hall,,0,0,1,5-12
20100209423871468,50,115430,cutscene_click,basic,1,,553.3937214578409,20.91169710687221,653.0,321.0,,"Will do, Boss.",groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,1,1,0-4
20100209442654932,623,900030,cutscene_click,basic,16,,-953.9857942132202,-241.7639308355399,410.0,543.0,,That thing's a monster!,confrontation,tunic.historicalsociety.cage,tunic.historicalsociety.cage.confrontation,0,0,1,13-22
20100210035915200,804,2154539,navigate_click,undefined,18,,-505.87193979940537,-208.13186913249373,181.0,491.0,,,,tunic.historicalsociety.closet_dirty,,0,0,1,13-22
20100210035915200,998,2571950,notification_click,basic,21,,406.7255276084942,-77.24441974155495,771.0,409.0,,I should go to the Capitol and tell Mrs. M!,,tunic.historicalsociety.stacks,tunic.historicalsociety.stacks.journals_flag.pic_0.bingo,0,0,1,13-22
20100210060040160,697,847178,navigate_click,undefined,15,,-665.5645625519144,-230.65291955618844,484.0,516.0,,,,tunic.historicalsociety.cage,,0,0,1,13-22
20100210160016240,206,412309,person_click,basic,7,,-273.14125067875955,34.0,193.0,296.0,,Do you know what this slip is?,worker,tunic.humanecology.frontdesk,tunic.humanecology.frontdesk.worker.intro,0,0,1,5-12
20100210373075410,1286,2902800,person_click,basic,21,,70.36035985383462,-256.4810126582278,573.0,702.0,,Something to do with ecology and Wisconsin.,archivist_glasses,tunic.historicalsociety.frontdesk,tunic.historicalsociety.frontdesk.archivist_glasses.confrontation,0,0,1,13-22
20100210420926296,908,1194329,navigate_click,undefined,18,,871.230865881826,-442.47049810482537,763.0,392.0,,,,tunic.wildlife.center,,0,0,1,13-22
20100210445216532,179,241000,navigate_click,undefined,3,,565.958630778645,169.14899856145337,556.0,208.0,,,tobasement,tunic.historicalsociety.entry,,0,0,1,0-4
20100210445216532,324,330975,notebook_click,close,4,1.0,473.5157521687544,288.0,799.0,42.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4
20100210564048012,1230,2153793,navigate_click,undefined,17,,-348.4125341614892,-216.73160276424647,76.0,447.0,,,,tunic.historicalsociety.entry,,0,0,1,13-22
20100211085118416,507,1161413,navigate_click,undefined,13,,551.6078238486859,-153.9026568223049,761.0,411.0,,,,tunic.capitol_1.hall,,0,0,1,13-22
20100211121053492,1508,1972581,navigate_click,undefined,18,,203.725294124232,304.6398578911695,807.0,256.0,,,,tunic.historicalsociety.entry,,1,1,1,13-22
20100211344685930,1436,4010972,navigate_click,undefined,21,,-23.892177861516448,-186.00000000000003,299.0,516.0,,,,tunic.historicalsociety.frontdesk,,0,0,1,13-22
20100211344685930,1491,4070661,object_hover,undefined,21,,,,,,502.0,,journals_flag.pic_1.next,tunic.historicalsociety.stacks,,0,0,1,13-22
20100211371475936,1645,4915046,navigate_click,undefined,21,,12.685602139928674,-114.23076923076927,629.0,455.0,,,,tunic.kohlcenter.halloffame,,0,0,0,13-22
20100211382417492,562,687079,navigate_click,undefined,15,,-9.999999999999991,59.5654551148171,430.0,253.0,,,tofrontdesk,tunic.historicalsociety.stacks,,0,0,1,13-22
20100211421173170,819,1283950,person_click,basic,19,,241.33420510020485,42.38482792947888,616.0,285.0,,"Oh, cool! I've never seen a badger in real life.",flag_girl,tunic.flaghouse.entry,tunic.flaghouse.entry.flag_girl.hello,0,0,1,13-22
20100211430371096,422,519620,navigate_click,undefined,8,,557.9946219796418,-162.00000000000003,823.0,492.0,,,,tunic.humanecology.frontdesk,,0,0,0,5-12
20100211574783960,938,1243734,person_click,basic,21,,-391.3910491653637,-69.16107555174936,246.0,383.0,,Though the archivist might be too busy to help...,worker,tunic.library.frontdesk,tunic.library.frontdesk.worker.nelson,0,1,0,13-22
20100212183407164,482,1022269,cutscene_click,basic,13,,220.393738184067,-238.85499432926292,521.0,486.0,,What is it?,ch3start,tunic.historicalsociety.basement,tunic.historicalsociety.basement.ch3start,0,0,1,13-22
20100213143880790,480,702750,object_click,close,9,,367.83720302170263,278.0,815.0,52.0,,,reader,tunic.library.microfiche,,0,0,1,5-12
20100213175090564,25,49159,notification_click,basic,0,,-520.4846495416347,-315.88322222921914,429.0,619.0,,Gramps is in trouble for losing papers?,,tunic.historicalsociety.closet,tunic.historicalsociety.closet.retirement_letter.hub,0,0,1,0-4
20100213181404636,1586,13396463,notebook_click,open,21,6.0,-428.78932148210566,-265.0,22.0,595.0,,,,tunic.library.microfiche,,0,0,1,13-22
20100213190163210,458,610184,person_click,basic,10,,-157.60760723256863,1.2576589804058864,426.0,329.0,,Oh no... Teddy!,worker,tunic.library.frontdesk,tunic.library.frontdesk.worker.wells,0,0,1,5-12
20100213263066652,668,274580,person_click,basic,11,,-1.8649973237435555,57.0,409.0,273.0,,I can't calm down. This is important!,archivist,tunic.historicalsociety.frontdesk,tunic.historicalsociety.frontdesk.archivist.newspaper,0,0,1,5-12
20100213263066652,1115,538539,person_click,basic,18,,35.42631738344025,102.83187616398752,355.0,262.0,,Do you know where I can find a deer expert?,boss,tunic.historicalsociety.entry,tunic.historicalsociety.entry.boss.flag,0,0,1,13-22
20100213375286176,405,774423,person_click,basic,8,,-13.334393622405017,-185.0,378.0,515.0,,"Well, I can't show our log books to just anybody.",worker,tunic.drycleaner.frontdesk,tunic.drycleaner.frontdesk.worker.hub,0,0,0,5-12
20100213382907436,182,315958,navigate_click,undefined,3,,-569.6763292078788,-333.08942069098833,62.0,554.0,,,,tunic.historicalsociety.basement,,0,0,1,0-4
20100213405708116,1171,677861,person_click,basic,18,,378.35793438062746,78.9308319965712,582.0,277.0,,Do you know where I can find a deer expert?,boss,tunic.historicalsociety.entry,tunic.historicalsociety.entry.boss.flag,0,0,1,13-22
20100214045520348,817,1098095,person_click,basic,18,,-922.9619288139044,-464.7545605658924,123.0,388.0,,So? What'd you find out?,wells,tunic.wildlife.center,tunic.wildlife.center.wells.nodeer,0,0,1,13-22
20100214072239340,626,1771073,cutscene_click,basic,13,,168.26619938794974,-138.17476155073484,490.0,422.0,,Teddy is still missing!,ch3start,tunic.historicalsociety.basement,tunic.historicalsociety.basement.ch3start,0,0,1,13-22
20100214155551184,10,10153,person_click,basic,0,,-74.00096166000277,-172.37464576146374,35.0,457.0,,Now where did I put my notebook?,teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4
20100214282097348,791,3737602,navigate_click,undefined,18,,862.1110534888619,-399.4702265704891,756.0,359.0,,,,tunic.wildlife.center,,0,0,1,13-22
20100215260527524,205,131498,navigate_click,undefined,4,,-135.88837281861822,-63.0,73.0,393.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4
20100215260527524,261,179198,navigate_click,undefined,5,,857.0025010697464,-393.9873548408676,817.0,550.0,,,,tunic.capitol_0.hall,,0,0,1,5-12
20100215305373924,911,1402287,cutscene_click,basic,16,,-1220.707557298545,-101.02563882452394,175.0,419.0,,Teddy! Did you really eat his lunch?,confrontation,tunic.historicalsociety.cage,tunic.historicalsociety.cage.confrontation,0,0,1,13-22
20100215321524424,540,644384,navigate_click,undefined,5,,-755.1256648893228,-222.0,124.0,552.0,,,,tunic.kohlcenter.halloffame,,0,0,1,5-12
20100216063348280,339,689202,navigate_click,undefined,11,,-20.34850090565893,-253.0,388.0,583.0,,,,tunic.historicalsociety.frontdesk,,0,0,1,5-12
20100216352368660,206,760211,navigate_click,undefined,6,,-651.5187482225376,21.2440009174632,262.0,271.0,,,,tunic.historicalsociety.closet_dirty,,0,0,1,5-12
20100216352368660,335,1200706,person_click,basic,6,,2.6514990943410592,-169.00000000000003,411.0,499.0,,Great! Thanks for the help!,archivist,tunic.historicalsociety.frontdesk,tunic.historicalsociety.frontdesk.archivist.have_glass,0,0,1,5-12
20100217053697708,95,180396,cutscene_click,basic,3,,554.7323302101637,-102.99999999999996,565.0,433.0,,Our shirt is too old to be a basketball jersey!,togrampa,tunic.kohlcenter.halloffame,tunic.kohlcenter.halloffame.togrampa,0,0,1,0-4
20100217074338900,384,269326,person_click,basic,6,,-68.07155011151667,26.99999999999999,340.0,303.0,,I found it on an old shirt.,archivist,tunic.historicalsociety.frontdesk,tunic.historicalsociety.frontdesk.archivist.have_glass,1,1,1,5-12
20100217363309880,375,62690534,navigate_click,undefined,8,,-472.6692036967172,-31.999999999999986,44.0,362.0,,,,tunic.drycleaner.frontdesk,,0,0,1,5-12
20100221154871710,512,1061975,navigate_click,undefined,15,,-479.9618441850769,-173.71306619671302,823.0,469.0,,,,tunic.historicalsociety.cage,,0,0,1,13-22
20100221443309620,874,1549067,person_click,basic,19,,103.6103181529567,-67.61933783862445,478.0,395.0,,"Hey, nice dog! What breed is he?",flag_girl,tunic.flaghouse.entry,tunic.flaghouse.entry.flag_girl.hello,0,0,1,13-22
20100306151955890,644,15670248,cutscene_click,basic,16,,-968.7406151498593,-198.63445425151784,397.0,505.0,,"Alright, Jolie. Back to work.",confrontation,tunic.historicalsociety.cage,tunic.historicalsociety.cage.confrontation,1,1,1,13-22
20100306151955890,846,16184349,observation_click,basic,18,,318.16306134475275,-427.84007665525047,443.0,355.0,,"It's OK, girl! Look, I found you a cricket!",remove_cup,tunic.wildlife.center,tunic.wildlife.center.remove_cup,1,1,1,13-22
20100308245811950,80,296007,notification_click,basic,2,,554.9986066935726,-111.195747471915,801.0,407.0,,I'll record this in my notebook.,,tunic.historicalsociety.collection,tunic.historicalsociety.collection.tunic.slip,1,1,1,0-4
20100308372642200,136,94850,navigate_click,undefined,3,,180.01192155294063,-176.2243448802061,850.0,430.0,,,,tunic.historicalsociety.entry,,1,0,1,0-4
20100308381327090,85,236933,object_click,basic,2,,-158.94078724582138,-115.5139292900968,305.0,410.0,,,tunic,tunic.historicalsociety.collection,,0,0,1,0-4
20100308415294944,876,5589664,navigate_click,undefined,19,,-1173.7076281029545,-657.5303194907168,44.0,515.0,,,,tunic.wildlife.center,,0,0,0,13-22
20100309073611370,59,161392,cutscene_click,basic,2,,3.9688012192229802,159.6224728419034,441.0,226.0,,So? History is boring!,cs,tunic.historicalsociety.collection,tunic.historicalsociety.collection.cs,0,0,1,0-4
20100309472366890,910,1714032,navigate_click,undefined,21,,789.1876979222548,-220.47945595969043,843.0,494.0,,,,tunic.library.frontdesk,,0,0,1,13-22
20100310085206010,276,379724,navigate_click,undefined,5,,710.495526621451,-523.0585375598237,728.0,635.0,,,,tunic.capitol_0.hall,,0,0,1,5-12
20100310085206010,997,1201969,object_click,basic,11,,-32.27447239150577,-67.24441974155489,332.0,399.0,,,journals,tunic.historicalsociety.stacks,,0,0,1,5-12
20100310363206396,942,1569964,cutscene_click,basic,16,,-1249.8550785957746,-164.34278038138066,140.0,446.0,,What's going on here?,confrontation,tunic.historicalsociety.cage,tunic.historicalsociety.cage.confrontation,0,0,1,13-22
20100310382587370,62,84564,navigate_click,undefined,2,,-548.5878933657939,-210.5210015416293,45.0,446.0,,,,tunic.historicalsociety.entry,,1,1,1,0-4
20100310382587370,472,870462,map_click,close,11,,89.54910940538205,351.77269551265795,817.0,60.0,,,,tunic.library.frontdesk,,1,1,1,5-12
20100310430520250,768,1112877,person_click,basic,18,,-847.7418760393933,-443.1729891601863,181.0,372.0,,Ugh... I think that lynx is looking at me funny.,wells,tunic.wildlife.center,tunic.wildlife.center.wells.animals2,0,0,1,13-22
20100311001945340,487,792282,navigate_click,undefined,14,,-416.2556124371987,-118.8273968520331,755.0,425.0,,,,tunic.historicalsociety.cage,,0,0,1,13-22
20100311160764630,399,610318,object_click,basic,9,,37.837203038337286,-226.0,485.0,556.0,,,reader.paper1.next,tunic.library.microfiche,,0,0,1,5-12
20100311224131456,60,99210,cutscene_click,basic,1,,-102.83682399670509,-171.23521198403674,250.0,439.0,,undefined,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4
20100311260350376,650,476540,navigate_click,undefined,15,,-597.3376934231665,-166.660884678757,90.0,437.0,,,toentry,tunic.historicalsociety.basement,,0,0,1,13-22
20100311405375370,873,1157653,navigate_click,undefined,16,,-713.5708419361673,-139.35213140862672,846.0,442.0,,,,tunic.historicalsociety.cage,,0,0,1,13-22
